Date,Historical_Volatility
2014-02-14,0.14203381665573525
2014-02-18,0.14205464070977616
2014-02-19,0.14319408075873208
2014-02-20,0.1431758181649854
2014-02-21,0.14329083724967312
2014-02-24,0.1444028560211334
2014-02-25,0.1443305451687717
2014-02-26,0.13925264990946393
2014-02-27,0.13648861385516933
2014-02-28,0.135925982641006
2014-03-03,0.13764901306956978
2014-03-04,0.14395633235764488
2014-03-05,0.1438308596577887
2014-03-06,0.1438688134679045
2014-03-07,0.14102246960520926
2014-03-10,0.12510633543056152
2014-03-11,0.12520047437117857
2014-03-12,0.12450348466116865
2014-03-13,0.1257817944969768
2014-03-14,0.12272976253898336
2014-03-17,0.12320242893963208
2014-03-18,0.10047609720082348
2014-03-19,0.10218116621013903
2014-03-20,0.10211449828761952
2014-03-21,0.09842148909190929
2014-03-24,0.09382972584626505
2014-03-25,0.09430619646792658
2014-03-26,0.09242731253558902
2014-03-27,0.09268296006037091
2014-03-28,0.0921674932626057
2014-03-31,0.09385417396558558
2014-04-01,0.09567591270521986
2014-04-02,0.09325135057624645
2014-04-03,0.09228550654386894
2014-04-04,0.09991283616146666
2014-04-07,0.1035842808449523
2014-04-08,0.10407167689438024
2014-04-09,0.10865125739626572
2014-04-10,0.12416531855813871
2014-04-11,0.12654153760628123
2014-04-14,0.12752535671904236
2014-04-15,0.12073530168383068
2014-04-16,0.12488876985284895
2014-04-17,0.12484627645621492
2014-04-21,0.12536108587546677
2014-04-22,0.1259337149271925
2014-04-23,0.12518554070744736
2014-04-24,0.12526578955282025
2014-04-25,0.12269526275995718
2014-04-28,0.12259678416524263
2014-04-29,0.12025938617209853
2014-04-30,0.11878389399491064
2014-05-01,0.11725295859970933
2014-05-02,0.11613341058724715
2014-05-05,0.11584586823848644
2014-05-06,0.118053820434492
2014-05-07,0.1184795981909082
2014-05-08,0.1165943335346649
2014-05-09,0.11641934207487736
2014-05-12,0.11884315689151487
2014-05-13,0.11686424769815881
2014-05-14,0.11608085864478092
2014-05-15,0.11890832330672295
2014-05-16,0.11946157710494298
2014-05-19,0.11403096948533782
2014-05-20,0.11105156308533183
2014-05-21,0.11286041213039086
2014-05-22,0.10875741066225006
2014-05-23,0.08857061622997979
2014-05-27,0.0835266961334124
2014-05-28,0.08159082934365204
2014-05-29,0.08089788051229047
2014-05-30,0.07618112013239348
2014-06-02,0.07618359570051286
2014-06-03,0.07585220644183865
2014-06-04,0.07532154896483893
2014-06-05,0.07647491738009052
2014-06-06,0.07712538410792037
2014-06-09,0.07188245764137385
2014-06-10,0.07187991540412669
2014-06-11,0.07255963185396667
2014-06-12,0.07613535260248502
2014-06-13,0.07636795325346347
2014-06-16,0.07606403654768434
2014-06-17,0.07609902148837476
2014-06-18,0.0723360117295034
2014-06-19,0.0713113448042271
2014-06-20,0.07081940226536883
2014-06-23,0.07098241865429253
2014-06-24,0.07015721456417079
2014-06-25,0.07106648712087747
2014-06-26,0.069286184306944
2014-06-27,0.06163323437512282
2014-06-30,0.06152892722735749
2014-07-01,0.063021130535187
2014-07-02,0.05833411408266647
2014-07-03,0.056307850664542344
2014-07-07,0.05855265146591581
2014-07-08,0.06289614750226005
2014-07-09,0.06210409577997641
2014-07-10,0.06361627485660226
2014-07-11,0.062254690896578396
2014-07-14,0.06328073597548316
2014-07-15,0.0638193352314915
2014-07-16,0.06444010559502743
2014-07-17,0.07429168135813098
2014-07-18,0.07762993949951984
2014-07-21,0.0771498616587627
2014-07-22,0.07828364490555816
2014-07-23,0.0783196945086885
2014-07-24,0.07732337416986784
2014-07-25,0.07560124222454549
2014-07-28,0.07529807443404256
2014-07-29,0.07682731654921829
2014-07-30,0.07668588320890844
2014-07-31,0.09408534381521692
2014-08-01,0.09419526082247065
2014-08-04,0.09665125076292945
2014-08-05,0.10032597821272492
2014-08-06,0.09885747459928576
2014-08-07,0.09854637573028777
2014-08-08,0.10485208597204544
2014-08-11,0.10504453722497246
2014-08-12,0.10510659926483713
2014-08-13,0.10512390746659274
2014-08-14,0.10599555829054187
2014-08-15,0.10457352214781877
2014-08-18,0.10721989922915648
2014-08-19,0.10609361884317904
2014-08-20,0.10551122078337605
2014-08-21,0.10494964308763507
2014-08-22,0.10514759960700576
2014-08-25,0.10512711284666718
2014-08-26,0.10491464959061603
2014-08-27,0.1043199606455832
2014-08-28,0.097991164522377
2014-08-29,0.09407079911685573
2014-09-02,0.09375854166600393
2014-09-03,0.09283138854747057
2014-09-04,0.09287431106283756
2014-09-05,0.09392849877087912
2014-09-08,0.09321317831365096
2014-09-09,0.09536686475640423
2014-09-10,0.09480306531428719
2014-09-11,0.0948036368483282
2014-09-12,0.07514993205876584
2014-09-15,0.07445948429438916
2014-09-16,0.0746768215953233
2014-09-17,0.06741775650250804
2014-09-18,0.06803035469053931
2014-09-19,0.064938647331039
2014-09-22,0.06399005313390663
2014-09-23,0.06675795822156821
2014-09-24,0.06935902213963793
2014-09-25,0.08354019787975063
2014-09-26,0.08616042233307894
2014-09-29,0.08659685016788571
2014-09-30,0.08351953375944983
2014-10-01,0.0905218207848059
2014-10-02,0.09007726590777058
2014-10-03,0.09590336065981177
2014-10-06,0.09584944172220604
2014-10-07,0.1035844865561428
2014-10-08,0.11657343443327264
2014-10-09,0.13036821767475457
2014-10-10,0.13372179884764
2014-10-13,0.13967363243972386
2014-10-14,0.1400237323177199
2014-10-15,0.1410271480019633
2014-10-16,0.1411949551029403
2014-10-17,0.1464668803419612
2014-10-20,0.14994699870114425
2014-10-21,0.16118130461178123
2014-10-22,0.16170816815872072
